codepoint,value,subnormal
0x02a8,0x1p+168, 
0x02a9,0x1p+169, 
0x02aa,0x1p+170, 
0x02ab,0x1p+171, 
0x02ac,0x1p+172, 
0x02ad,0x1p+173, 
0x02ae,0x1p+174, 
0x02af,0x1p+175, 
0x02b0,0x1p+176, 
0x02b1,0x1p+177, 
0x02b2,0x1p+178, 
0x02b3,0x1p+179, 
0x02b4,0x1p+180, 
0x02b5,0x1p+181, 
0x02b6,0x1p+182, 
0x02b7,0x1p+183, 
0x02b8,0x1p+184, 
0x02b9,0x1p+185, 
0x02ba,0x1p+186, 
0x02bb,0x1p+187, 
0x02bc,0x1p+188, 
0x02bd,0x1p+189, 
0x02be,0x1p+190, 
0x02bf,0x1p+191, 
0x02c0,0x1p+192, 
0x02c1,0x1p+193, 
0x02c2,0x1p+194, 
0x02c3,0x1p+195, 
0x02c4,0x1p+196, 
0x02c5,0x1p+197, 
0x02c6,0x1p+198, 
0x02c7,0x1p+199, 
0x02c8,0x1p+200, 
0x02c9,0x1p+201, 
0x02ca,0x1p+202, 
0x02cb,0x1p+203, 
0x02cc,0x1p+204, 
0x02cd,0x1p+205, 
0x02ce,0x1p+206, 
0x02cf,0x1p+207, 
0x02d0,0x1p+208, 
0x02d1,0x1p+209, 
0x02d2,0x1p+210, 
0x02d3,0x1p+211, 
0x02d4,0x1p+212, 
0x02d5,0x1p+213, 
0x02d6,0x1p+214, 
0x02d7,0x1p+215, 
0x02d8,0x1p+216, 
0x02d9,0x1p+217, 
0x02da,0x1p+218, 
0x02db,0x1p+219, 
0x02dc,0x1p+220, 
0x02dd,0x1p+221, 
0x02de,0x1p+222, 
0x02df,0x1p+223, 
0x02e0,0x1p+224, 
0x02e1,0x1p+225, 
0x02e2,0x1p+226, 
0x02e3,0x1p+227, 
0x02e4,0x1p+228, 
0x02e5,0x1p+229, 
0x02e6,0x1p+230, 
0x02e7,0x1p+231, 
0x02e8,0x1p+232, 
0x02e9,0x1p+233, 
0x02ea,0x1p+234, 
0x02eb,0x1p+235, 
0x02ec,0x1p+236, 
0x02ed,0x1p+237, 
0x02ee,0x1p+238, 
0x02ef,0x1p+239, 
0x02f0,0x1p+240, 
0x02f1,0x1p+241, 
0x02f2,0x1p+242, 
0x02f3,0x1p+243, 
0x02f4,0x1p+244, 
0x02f5,0x1p+245, 
0x02f6,0x1p+246, 
0x02f7,0x1p+247, 
0x02f8,0x1p+248, 
0x02f9,0x1p+249, 
0x02fa,0x1p+250, 
0x02fb,0x1p+251, 
0x02fc,0x1p+252, 
0x02fd,0x1p+253, 
0x02fe,0x1p+254, 
0x02ff,0x1p+255, 
0x0300,0x1p+256, 
0x0301,0x1p+257, 
0x0302,0x1p+258, 
0x0303,0x1p+259, 
0x0304,0x1p+260, 
0x0305,0x1p+261, 
0x0306,0x1p+262, 
0x0307,0x1p+263, 
0x0308,0x1p+264, 
0x0309,0x1p+265, 
0x030a,0x1p+266, 
0x030b,0x1p+267, 
0x030c,0x1p+268, 
0x030d,0x1p+269, 
0x030e,0x1p+270, 
0x030f,0x1p+271, 
