codepoint,values,subnormal
0x0234,0x0.234p-4,*
0x0235,0x0.235p-4,*
0x0236,0x0.236p-4,*
0x0237,0x0.237p-4,*
0x0238,0x0.238p-4,*
0x0239,0x0.239p-4,*
0x023a,0x0.23ap-4,*
0x023b,0x0.23bp-4,*
0x023c,0x0.23cp-4,*
0x023d,0x0.23dp-4,*
0x023e,0x0.23ep-4,*
0x023f,0x0.23fp-4,*
0x0240,0x0.24p-4,*
0x0241,0x0.241p-4,*
0x0242,0x0.242p-4,*
0x0243,0x0.243p-4,*
0x0244,0x0.244p-4,*
0x0245,0x0.245p-4,*
0x0246,0x0.246p-4,*
0x0247,0x0.247p-4,*
0x0248,0x0.248p-4,*
0x0249,0x0.249p-4,*
0x024a,0x0.24ap-4,*
0x024b,0x0.24bp-4,*
0x024c,0x0.24cp-4,*
0x024d,0x0.24dp-4,*
0x024e,0x0.24ep-4,*
0x024f,0x0.24fp-4,*
0x0250,0x0.25p-4,*
0x0251,0x0.251p-4,*
0x0252,0x0.252p-4,*
0x0253,0x0.253p-4,*
0x0254,0x0.254p-4,*
0x0255,0x0.255p-4,*
0x0256,0x0.256p-4,*
0x0257,0x0.257p-4,*
0x0258,0x0.258p-4,*
0x0259,0x0.259p-4,*
0x025a,0x0.25ap-4,*
0x025b,0x0.25bp-4,*
0x025c,0x0.25cp-4,*
0x025d,0x0.25dp-4,*
0x025e,0x0.25ep-4,*
0x025f,0x0.25fp-4,*
0x0260,0x0.26p-4,*
0x0261,0x0.261p-4,*
0x0262,0x0.262p-4,*
0x0263,0x0.263p-4,*
0x0264,0x0.264p-4,*
0x0265,0x0.265p-4,*
0x0266,0x0.266p-4,*
0x0267,0x0.267p-4,*
0x0268,0x0.268p-4,*
0x0269,0x0.269p-4,*
0x026a,0x0.26ap-4,*
0x026b,0x0.26bp-4,*
0x026c,0x0.26cp-4,*
0x026d,0x0.26dp-4,*
0x026e,0x0.26ep-4,*
0x026f,0x0.26fp-4,*
0x0270,0x0.27p-4,*
0x0271,0x0.271p-4,*
0x0272,0x0.272p-4,*
0x0273,0x0.273p-4,*
0x0274,0x0.274p-4,*
0x0275,0x0.275p-4,*
0x0276,0x0.276p-4,*
0x0277,0x0.277p-4,*
0x0278,0x0.278p-4,*
0x0279,0x0.279p-4,*
0x027a,0x0.27ap-4,*
0x027b,0x0.27bp-4,*
0x027c,0x0.27cp-4,*
0x027d,0x0.27dp-4,*
0x027e,0x0.27ep-4,*
0x027f,0x0.27fp-4,*
0x0280,0x0.28p-4,*
0x0281,0x0.281p-4,*
0x0282,0x0.282p-4,*
0x0283,0x0.283p-4,*
0x0284,0x0.284p-4,*
0x0285,0x0.285p-4,*
0x0286,0x0.286p-4,*
0x0287,0x0.287p-4,*
0x0288,0x0.288p-4,*
0x0289,0x0.289p-4,*
0x028a,0x0.28ap-4,*
0x028b,0x0.28bp-4,*
0x028c,0x0.28cp-4,*
0x028d,0x0.28dp-4,*
0x028e,0x0.28ep-4,*
0x028f,0x0.28fp-4,*
0x0290,0x0.29p-4,*
0x0291,0x0.291p-4,*
0x0292,0x0.292p-4,*
0x0293,0x0.293p-4,*
0x0294,0x0.294p-4,*
0x0295,0x0.295p-4,*
0x0296,0x0.296p-4,*
0x0297,0x0.297p-4,*
0x0298,0x0.298p-4,*
0x0299,0x0.299p-4,*
0x029a,0x0.29ap-4,*
0x029b,0x0.29bp-4,*
0x029c,0x0.29cp-4,*
0x029d,0x0.29dp-4,*
0x029e,0x0.29ep-4,*
0x029f,0x0.29fp-4,*
0x02a0,0x0.2ap-4,*
0x02a1,0x0.2a1p-4,*
0x02a2,0x0.2a2p-4,*
0x02a3,0x0.2a3p-4,*
0x02a4,0x0.2a4p-4,*
0x02a5,0x0.2a5p-4,*
0x02a6,0x0.2a6p-4,*
0x02a7,0x0.2a7p-4,*
0x02a8,0x0.2a8p-4,*
0x02a9,0x0.2a9p-4,*
0x02aa,0x0.2aap-4,*
0x02ab,0x0.2abp-4,*
0x02ac,0x0.2acp-4,*
0x02ad,0x0.2adp-4,*
0x02ae,0x0.2aep-4,*
0x02af,0x0.2afp-4,*
0x02b0,0x0.2bp-4,*
0x02b1,0x0.2b1p-4,*
0x02b2,0x0.2b2p-4,*
0x02b3,0x0.2b3p-4,*
0x02b4,0x0.2b4p-4,*
0x02b5,0x0.2b5p-4,*
0x02b6,0x0.2b6p-4,*
0x02b7,0x0.2b7p-4,*
0x02b8,0x0.2b8p-4,*
0x02b9,0x0.2b9p-4,*
0x02ba,0x0.2bap-4,*
0x02bb,0x0.2bbp-4,*
0x02bc,0x0.2bcp-4,*
0x02bd,0x0.2bdp-4,*
0x02be,0x0.2bep-4,*
0x02bf,0x0.2bfp-4,*
0x02c0,0x0.2cp-4,*
0x02c1,0x0.2c1p-4,*
0x02c2,0x0.2c2p-4,*
0x02c3,0x0.2c3p-4,*
0x02c4,0x0.2c4p-4,*
0x02c5,0x0.2c5p-4,*
0x02c6,0x0.2c6p-4,*
0x02c7,0x0.2c7p-4,*
0x02c8,0x0.2c8p-4,*
0x02c9,0x0.2c9p-4,*
0x02ca,0x0.2cap-4,*
0x02cb,0x0.2cbp-4,*
0x02cc,0x0.2ccp-4,*
0x02cd,0x0.2cdp-4,*
0x02ce,0x0.2cep-4,*
0x02cf,0x0.2cfp-4,*
0x02d0,0x0.2dp-4,*
0x02d1,0x0.2d1p-4,*
0x02d2,0x0.2d2p-4,*
0x02d3,0x0.2d3p-4,*
0x02d4,0x0.2d4p-4,*
0x02d5,0x0.2d5p-4,*
0x02d6,0x0.2d6p-4,*
0x02d7,0x0.2d7p-4,*
0x02d8,0x0.2d8p-4,*
0x02d9,0x0.2d9p-4,*
0x02da,0x0.2dap-4,*
0x02db,0x0.2dbp-4,*
0x02dc,0x0.2dcp-4,*
0x02dd,0x0.2ddp-4,*
0x02de,0x0.2dep-4,*
0x02df,0x0.2dfp-4,*
0x02e0,0x0.2ep-4,*
0x02e1,0x0.2e1p-4,*
0x02e2,0x0.2e2p-4,*
0x02e3,0x0.2e3p-4,*
0x02e4,0x0.2e4p-4,*
0x02e5,0x0.2e5p-4,*
0x02e6,0x0.2e6p-4,*
0x02e7,0x0.2e7p-4,*
0x02e8,0x0.2e8p-4,*
0x02e9,0x0.2e9p-4,*
0x02ea,0x0.2eap-4,*
0x02eb,0x0.2ebp-4,*
0x02ec,0x0.2ecp-4,*
0x02ed,0x0.2edp-4,*
0x02ee,0x0.2eep-4,*
0x02ef,0x0.2efp-4,*
0x02f0,0x0.2fp-4,*
0x02f1,0x0.2f1p-4,*
0x02f2,0x0.2f2p-4,*
0x02f3,0x0.2f3p-4,*
0x02f4,0x0.2f4p-4,*
0x02f5,0x0.2f5p-4,*
0x02f6,0x0.2f6p-4,*
0x02f7,0x0.2f7p-4,*
0x02f8,0x0.2f8p-4,*
0x02f9,0x0.2f9p-4,*
0x02fa,0x0.2fap-4,*
0x02fb,0x0.2fbp-4,*
0x02fc,0x0.2fcp-4,*
0x02fd,0x0.2fdp-4,*
0x02fe,0x0.2fep-4,*
0x02ff,0x0.2ffp-4,*
0x0300,0x0.3p-4,*
0x0301,0x0.301p-4,*
0x0302,0x0.302p-4,*
0x0303,0x0.303p-4,*
0x0304,0x0.304p-4,*
0x0305,0x0.305p-4,*
0x0306,0x0.306p-4,*
