codepoint,value,subnormal
0x0310,0x1.1p-253, 
0x0311,0x1.11p-253, 
0x0312,0x1.12p-253, 
0x0313,0x1.13p-253, 
0x0314,0x1.14p-253, 
0x0315,0x1.15p-253, 
0x0316,0x1.16p-253, 
0x0317,0x1.17p-253, 
0x0318,0x1.18p-253, 
0x0319,0x1.19p-253, 
0x031a,0x1.1ap-253, 
0x031b,0x1.1bp-253, 
0x031c,0x1.1cp-253, 
0x031d,0x1.1dp-253, 
0x031e,0x1.1ep-253, 
0x031f,0x1.1fp-253, 
0x0320,0x1.2p-253, 
0x0321,0x1.21p-253, 
0x0322,0x1.22p-253, 
0x0323,0x1.23p-253, 
0x0324,0x1.24p-253, 
0x0325,0x1.25p-253, 
0x0326,0x1.26p-253, 
0x0327,0x1.27p-253, 
0x0328,0x1.28p-253, 
0x0329,0x1.29p-253, 
0x032a,0x1.2ap-253, 
0x032b,0x1.2bp-253, 
0x032c,0x1.2cp-253, 
0x032d,0x1.2dp-253, 
0x032e,0x1.2ep-253, 
0x032f,0x1.2fp-253, 
0x0330,0x1.3p-253, 
0x0331,0x1.31p-253, 
0x0332,0x1.32p-253, 
0x0333,0x1.33p-253, 
0x0334,0x1.34p-253, 
0x0335,0x1.35p-253, 
0x0336,0x1.36p-253, 
0x0337,0x1.37p-253, 
0x0338,0x1.38p-253, 
0x0339,0x1.39p-253, 
