codepoint,values,subnormal
0x0248,0x0.49p-8,*
0x0249,0x0.492p-8,*
0x024a,0x0.494p-8,*
0x024b,0x0.496p-8,*
0x024c,0x0.498p-8,*
0x024d,0x0.49ap-8,*
0x024e,0x0.49cp-8,*
0x024f,0x0.49ep-8,*
0x0250,0x0.4ap-8,*
0x0251,0x0.4a2p-8,*
0x0252,0x0.4a4p-8,*
0x0253,0x0.4a6p-8,*
0x0254,0x0.4a8p-8,*
0x0255,0x0.4aap-8,*
0x0256,0x0.4acp-8,*
0x0257,0x0.4aep-8,*
0x0258,0x0.4bp-8,*
0x0259,0x0.4b2p-8,*
0x025a,0x0.4b4p-8,*
0x025b,0x0.4b6p-8,*
0x025c,0x0.4b8p-8,*
0x025d,0x0.4bap-8,*
0x025e,0x0.4bcp-8,*
0x025f,0x0.4bep-8,*
0x0260,0x0.4cp-8,*
0x0261,0x0.4c2p-8,*
0x0262,0x0.4c4p-8,*
0x0263,0x0.4c6p-8,*
0x0264,0x0.4c8p-8,*
0x0265,0x0.4cap-8,*
0x0266,0x0.4ccp-8,*
0x0267,0x0.4cep-8,*
0x0268,0x0.4dp-8,*
0x0269,0x0.4d2p-8,*
0x026a,0x0.4d4p-8,*
0x026b,0x0.4d6p-8,*
0x026c,0x0.4d8p-8,*
0x026d,0x0.4dap-8,*
0x026e,0x0.4dcp-8,*
0x026f,0x0.4dep-8,*
0x0270,0x0.4ep-8,*
0x0271,0x0.4e2p-8,*
0x0272,0x0.4e4p-8,*
0x0273,0x0.4e6p-8,*
0x0274,0x0.4e8p-8,*
0x0275,0x0.4eap-8,*
0x0276,0x0.4ecp-8,*
0x0277,0x0.4eep-8,*
0x0278,0x0.4fp-8,*
0x0279,0x0.4f2p-8,*
0x027a,0x0.4f4p-8,*
0x027b,0x0.4f6p-8,*
0x027c,0x0.4f8p-8,*
0x027d,0x0.4fap-8,*
0x027e,0x0.4fcp-8,*
0x027f,0x0.4fep-8,*
0x0280,0x0.5p-8,*
0x0281,0x0.502p-8,*
0x0282,0x0.504p-8,*
0x0283,0x0.506p-8,*
0x0284,0x0.508p-8,*
0x0285,0x0.50ap-8,*
0x0286,0x0.50cp-8,*
0x0287,0x0.50ep-8,*
0x0288,0x0.51p-8,*
0x0289,0x0.512p-8,*
0x028a,0x0.514p-8,*
0x028b,0x0.516p-8,*
0x028c,0x0.518p-8,*
0x028d,0x0.51ap-8,*
0x028e,0x0.51cp-8,*
0x028f,0x0.51ep-8,*
0x0290,0x0.52p-8,*
0x0291,0x0.522p-8,*
0x0292,0x0.524p-8,*
0x0293,0x0.526p-8,*
0x0294,0x0.528p-8,*
0x0295,0x0.52ap-8,*
0x0296,0x0.52cp-8,*
0x0297,0x0.52ep-8,*
0x0298,0x0.53p-8,*
0x0299,0x0.532p-8,*
0x029a,0x0.534p-8,*
0x029b,0x0.536p-8,*
0x029c,0x0.538p-8,*
0x029d,0x0.53ap-8,*
0x029e,0x0.53cp-8,*
0x029f,0x0.53ep-8,*
0x02a0,0x0.54p-8,*
